"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Lesotho","Export","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","8","","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Lesotho","Export","Fish","0",".","1","","12","F","8","","9","","0",".","0",".","0",".","56","","370","","685","","614","","488","","722","F","2017","F","2660","F"
"Lesotho","Import","Crustaceans","32","F","15","F","22","F","85","","6","","0",".","0",".","0",".","62","","183","","466","","251","","110","","34","F","68","F","14","F"
"Lesotho","Import","Fish","7752","F","2176","F","3634","F","4035","","2594","","1979","F","1957","F","1975","F","2525","","3742","","3384","","6255","","5919","","5469","F","10628","F","8898","F"
"Liberia","Export","Crustaceans","0","-","38","F","0","-","140","F","216","F","22","F","46","F","13","F","3","","0","-","0","-","0","-","39","F","0","-","4","F","0","-"
"Liberia","Export","Fish","49","F","43","F","80","F","38","F","167","F","369","F","593","F","617","F","639","F","996","F","1199","F","693","F","601","F","541","F","417","F","436","F"
"Liberia","Import","Crustaceans","223","F","13","F","103","F","8","F","34","F","92","F","71","F","160","F","156","F","171","F","91","F","56","F","93","F","105","F","445","F","278","F"
"Liberia","Import","Fish","2531","F","2201","F","1298","F","2197","F","2122","F","3014","F","3816","F","2757","F","5965","F","3373","F","5301","F","6260","F","9899","F","11581","F","16697","F","11966","F"
"Libya","Export","Crustaceans","0",".","0",".","1","","0","-","0","0","0","-","1","","0","-","0","-","85","","12","F","0","-","0","-","0","-","1","F","0","-"
"Libya","Export","Fish","11786","F","7479","F","10543","F","10470","F","11802","F","14371","F","7646","F","8987","F","7581","F","5428","F","6457","F","3988","F","8959","F","9979","F","14023","F","16875","F"
"Libya","Import","Crustaceans","39","F","49","F","73","F","93","","148","","82","F","39","F","10","","0","-","351","","810","","412","F","519","F","1330","F","1651","F","796","F"
"Libya","Import","Fish","8990","F","9214","F","9583","F","6715","","7254","","19700","F","33047","F","33119","","35009","","38973","","69837","","80637","F","144123","F","147188","F","157974","F","141533","F"
"Madagascar","Export","Crustaceans","13150","","91700","","117708","","39179","","29726","","102822","","109595","","133589","","118274","","84028","","66991","","103974","","66427","","76753","","98855","","66410",""
